Fri Dec  9 21:10:11 2022    output.dat

         127371434 function calls (122847050 primitive calls) in 16267.607 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  7115913   10.799    0.000   10.799    0.000 {built-in method numpy.asanyarray}
  7004148   43.745    0.000   43.745    0.000 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:500(get_triangle_nodes)
6733657/6733585    7.596    0.000    7.596    0.000 {built-in method builtins.len}
6701279/2177146  109.788    0.000 12478.040    0.006 {built-in method numpy.core._multiarray_umath.implement_array_function}
  6108901 2649.693    0.000 2649.693    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  4960320   32.959    0.000   32.959    0.000 {built-in method numpy.array}
  4361952   52.355    0.000   70.068    0.000 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:490(create_3_new_nodes)
  4069202   26.621    0.000   26.621    0.000 {method 'round' of 'numpy.ndarray' objects}
  4065195   26.070    0.000  198.676    0.000 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:452(get_duplicated_nodes)
  4065195   31.408    0.000   31.408    0.000 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:472(<listcomp>)
  4065195   24.823    0.000   82.736    0.000 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:471(test1)
  4000761   15.890    0.000  217.350    0.000 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:439(sort_triangles_into_affected)
  3513316    6.145    0.000    6.145    0.000 {built-in method numpy.geterrobj}
  2712634    3.017    0.000    3.017    0.000 {method 'append' of 'list' objects}
  2642215    4.841    0.000    4.841    0.000 {built-in method numpy.zeros}
  2642206    3.181    0.000    3.181    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
  2642196    6.409    0.000   24.099    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_methods.py:46(_sum)
  2642196    2.936    0.000    2.936    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\lib\function_base.py:1315(_diff_dispatcher)
  2642196   32.000    0.000   44.106    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\lib\function_base.py:1319(diff)
  2642196   10.476    0.000   65.485    0.000 <__array_function__ internals>:177(diff)
  2642196    7.085    0.000   31.184    0.000 {method 'sum' of 'numpy.ndarray' objects}
1791754/1791748    2.518    0.000    2.518    0.000 {built-in method builtins.next}
  1791748    5.139    0.000    7.657    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\lib\index_tricks.py:684(__next__)
  1791748    5.110    0.000   12.767    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\lib\shape_base.py:370(<genexpr>)
  1791742   29.008    0.000  108.846    0.000 C:\Users\frudo\OneDrive - Universität Würzburg\Dokumente\arbeit\Hiwi_DataScience\PycharmProjects\gnn_adaptive_mashing\src\remashing\mash_generation_npy.py:260(sort_triangles_into_low_high_error)
  1781873    2.249    0.000    2.249    0.000 {method 'items' of 'dict' objects}
  1781862    3.780    0.000    3.780    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:70(<dictcomp>)
  1781862   16.781    0.000  112.821    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
  1781852    2.392    0.000    2.392    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2401(_all_dispatcher)
  1781852   10.079    0.000  122.898    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\fromnumeric.py:2406(all)
  1781852    8.514    0.000  140.124    0.000 <__array_function__ internals>:177(all)
  1756658   16.162    0.000   39.365    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
  1756658   11.619    0.000   13.504    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_ufunc_config.py:131(geterr)
  1756658    5.438    0.000    5.438    0.000 {built-in method numpy.seterrobj}
  1756656 2922.249    0.002 2922.249    0.002 {built-in method builtins.abs}
   878329    1.065    0.000    1.065    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\multiarray.py:664(result_type)
   878329    3.773    0.000   10.428    0.000 <__array_function__ internals>:177(result_type)
   878329    1.803    0.000    1.803    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_ufunc_config.py:425(__init__)
   878329    3.597    0.000   20.814    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_ufunc_config.py:429(__enter__)
   878329    7.650    0.000   29.797    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\_ufunc_config.py:434(__exit__)
   878328    1.112    0.000    1.112    0.000 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2269(_isclose_dispatcher)
   878328 8394.822    0.010 11369.484    0.013 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2354(within_tol)
   878328  708.182    0.001 12231.297    0.014 C:\Users\frudo\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\core\numeric.py:2273(isclose)
